lat,lon,aqi,uid,pm10,fold
36.576821,128.472886,72,12980,25,1
34.3345769,126.8283724,57,11513,30,5
35.0652356,126.9857882,53,11510,21,5
37.033578,125.996225,78,13552,49,2
34.88053905,128.62112946,59,13540,25,5
35.976403,127.205523,70,10449,26,4
35.336307,126.018459,-,13562,24,4
37.4425401,129.168344,53,1733,20,3
36.982086,127.919206,80,3988,38,2
37.2437,126.5854,99,3954,30,4
35.9907908,129.2269476,63,12714,23,2
36.344444,127.437222,70,1808,43,4
37.255942,126.483536,99,13001,51,1
34.824764,127.731615,70,11355,30,1
35.173784,128.986052,99,11342,49,2
37.8936111111,128.8227777778,46,14008,33,4
36.709057,127.421992,80,1746,36,1
35.2779955,126.5119937,59,11357,24,4
37.764444,126.463333,85,1722,51,2
35.825174,128.743217,63,1776,36,2
37.3797566,128.6611257,63,11486,26,3
37.1591,127.0771,93,1713,46,4
37.8535,127.1592,76,1719,49,3
38.290859,127.179801,61,13568,34,5
34.0551217,131.8105743,42,8814,12,3
36.553449,127.546407,91,12949,37,4
36.215998,127.043263,70,14016,53,5
37.404839,126.697158,89,1725,55,3
34.76479,127.078068,46,13999,41,4
35.49325,129.305696,57,4000,29,1
35.8357805,129.2869852,53,12565,23,5
35.215918,127.461282,42,12549,12,4
37.4872543,127.5962101,55,1710,28,4
37.233041,126.149272,87,4543,51,5
34.178496,131.4737269,42,2057,20,5
36.305084,127.570789,63,9554,26,4
34.4792914,126.2687164,55,11517,16,3
36.976453,126.716298,74,10470,31,4
36.3086,127.06721,85,12968,29,2
35.243402,128.641756,63,4016,24,5
34.565366,126.599224,42,10467,33,4
37.9613,127.3171,76,10465,30,3
37.6251,126.8423,65,3930,35,3
36.869739,126.280761,68,9548,40,3
37.4339,127.1293,80,4502,36,5
34.766809,126.439193,70,1793,26,4
37.3857,126.8619,87,12993,57,4
37.05311,127.046172,99,13532,51,2
37.72627,127.189881,63,13534,39,1
37.79239,126.987168,82,3961,51,5
38.123833,127.25235,20,4507,28,5
35.371633,128.676483,74,4514,38,5
37.219282,126.949062,85,13246,48,3
37.676245,127.494701,61,12997,44,5
37.373823,126.73289,99,13958,50,1
35.837626,128.697558,80,10468,44,2
36.736316,126.132168,112,4531,50,3
38.1092365,127.9894679,53,11491,20,1
36.0202555,126.9838398,76,13008,38,4
37.423889,126.994512,74,3931,33,5
