coveragefraction20,coveragefraction30,coveragefraction40,coveragefraction50,coveragefraction60,coveragefraction80,coveragefraction90,coveragefraction111,coveragefraction112,coveragefraction113,coveragefraction114,coveragefraction115,coveragefraction116,coveragefraction121,coveragefraction122,coveragefraction123,coveragefraction124,coveragefraction125,coveragefraction126,coveragefraction200
0.021909038740118767,0.0815200851238455,0.09617067881496932,0.0025629928840655296,0,3.203741105081912e-4,0.012177644723394764,0,0,0,0.5937926107020607,0,0.05683026553646033,0,0,0,0.06215291634580825,0,0.07256339301876866,0
9.611223310422237e-4,0.013590691401217601,0.03730910528803542,0.0011578995455756725,0,0.016189947217984123,0,0.0022426187724318555,0,0,0.7331119320618177,0,0.020273168776601028,0,0,0,0.03703411011960015,0,0.06310523818125945,0.07502416630443474
0.0016018705517255687,0.008515122241336246,0.026465913824947784,0.0014958558421971425,0,0.01658240305687089,0,0,0,0,0.012218134403546067,0,0.0050528054849944245,0,0,0,0.0032037411034511374,0,0.013704071455192413,0.9111600820357383
0.00993159742470788,0.009611223314233433,0.025904921700684088,0,0,0,0.006957467934945489,0.005670933754925157,0,0,0.8148986224573976,0,0.06239699706181453,0,0,0,0.020138187712144026,0,0.04449004863914774,0
0,0.002242618772159434,0.019452058233372583,9.611223309254718e-4,0,0,0,0.01003082613633293,0,0,0.935187459906671,0,0.013434772972638053,0,0,0,0.006879252283265176,0,0.011811889364635387,0
0.003844489323656434,0.010572345640055193,0.056583064749847346,0.0232999760877429,0,0.034746110094211795,9.611223309141085e-4,0.059310352777696425,0,0,0.2680865179861503,0.0012814964412188113,0.08531216857699239,0,0,0,0.002045841576721486,0,0.08092536322581115,0.37303115118898167
0.003524115214681611,0.0025629928834048077,0.00985454906223713,0,0,0,0.00320374110425601,0.0041018976431750325,0,0,0.8958281488495736,6.407482208512019e-4,0.04612277828134654,0,0,0,0.0044852375459584135,0,0.029675791194515633,0
0,6.407482205200763e-4,0.0012814964410401526,0,0,0,0,0.005444098656583352,0,0,0.9744863691503498,0,0.004695003434213796,0,0,0,0.005446359874420648,0,0.00800592422287222,0
0,0.00552070748032724,0.07746144197061525,0.033428350720079936,0,0.03253034034075409,5.369970585486422e-4,0.28843242147126397,0,0,0.288539394636408,0.001563346370858641,0.1109421822633823,0,0,0,6.407482205269588e-4,0,0.09231159153567672,0.06809247793155827
0,0.0034112434456872124,0.004146622242055528,0.005294963926809333,2.8184992980472343e-4,0.023745254209508942,4.2412528178968856e-4,0,0,0,0,0,0.0028833669923713145,0,0,0,0,0,0.005766733984742629,0.9540458399872306
9.611223312790972e-4,0.005766733987674583,0.011129188436705087,0,0,0,0.004805611656395485,0.03235778515306294,0,0,0.8562145483344538,0,0.04099570546797519,0,0,0,0.0030427873150892593,0,0.04472651731736463,0
0,0,0,0,0,0,0,0.0015400721034148893,0,0,0.9917320715811032,0,0.0012814964410441674,0,0,0,0.0025629928820883347,0,0.0028833669923493768,0
6.407482205158703e-4,5.755212389974384e-4,0.21213938881810462,0.039118036343228094,0,0.011671005509008117,0.002242618771805546,0.23850901085083528,0,0,0.24930135709352175,0.0030347629590843986,0.12372612940723973,3.2037411025793517e-4,0,0,9.611223307738055e-4,9.611223307738055e-4,0.11679880201585362,0
0.0019222446615648173,0.009394600369088625,0.052716894235003114,0.05566921413070638,0.0016403947317624485,0.10520798305211412,0.0016018705513040144,0.09353858613254802,0,0,0.004265826935380784,8.482505635722906e-4,0.06240662828760591,0.0019222446615648173,0,0,0,0,0.07232910511000602,0.5365361565777786
9.611223309057205e-4,0.0025629928824152546,3.2037411030190683e-4,0,0,0,0,0.014483155868641953,0,0,0.9072261939571256,0,0.031186171513078047,0,0,0,0.008373940804553675,0,0.03488604853297784,0
0,0,0.003364694893397898,0,0,0,0,0.03325258660034602,0,0,0.9138547458070857,0.0012814964416901684,0.010528131721544981,3.203741104225421e-4,0,0,0.01869843827128101,0,0.018699532154231643,0
0,0.00352411521286042,0.01198882084621107,0,0,0,0,0.012826346281210932,0,0,0.9465784376409259,8.386927221476206e-4,0.005003556155528117,0,0,0,0.0063456837573106365,0,0.012894347383805299,0
6.407482205223705e-4,0.0016018705513059263,0.059318027101886064,0.0049616034414588055,0,0.002883366992350667,0.005125985764178964,0.32622760137176327,0,0,0.3351836933586331,0.00552187476743547,0.17433600840466973,3.203741102611852e-4,0,0,7.025466779606107e-4,5.183186118894383e-4,0.08265798062568445,0
6.407482205208411e-4,0.023119176564313604,0.14030255678803136,0.023549004888231667,0,0.03866377973660452,0.0045607524366410275,0.2943153830563827,0,0,0.015249631998681719,0,0.10105986842066507,0.00604019337931049,0,0,0,0,0.11534197405448622,0.2371569304561308
0,0.0011068262074269456,0.0017239339800661636,4.3367214335963516e-4,0,0.007706560827029177,0,0,0,0,0,0,0,0,0,0,0,0,7.864520969982858e-4,0.9882425547451198
0,0.04699511338654792,0.00704823042384497,0,0,0,0,0,0,0,0.8584872228480354,0,0.0391676518419589,0,0,0,0.01778080211784074,0,0.030520979381772114,0
0,0,0.0016018705506692932,0.0019222446608031518,0,0,0,9.611223304015759e-4,0,0,0.9209957141474371,0,0.006279362852177,0,0,0,0.05446359872275597,0,0.013776086735755921,0
0,9.611223307904382e-4,0.0019222446615808765,0,0,0,0,0.007368604536060026,0,0,0.9830201721560355,0,3.203741102634794e-4,0,0,0,0.0032037411026347943,0,0.0032037411026347943,0
0,0,0,0,0,0,0,0.01251020416271343,0,0,0.9872449366201501,1.2242960856820187e-4,1.2242960856820187e-4,0,0,0,0,0,0,0
0.007844970439181526,0.0019222446605439102,0.18933665187484386,0.04766934813487559,0,0,0,0.2772965730446383,0,0,0.22212243702517015,0.005370844978585954,0.08932561528972878,9.611223302719551e-4,0,0,0,0.0023650483792023256,0.15578514384295766,0
0.002883366990815865,0.006529911810380797,0.2118887692180033,0.06693373883263265,0,0,0.005691219088676606,0.34697022858116955,0,3.203741100906517e-4,0.07453909123660349,0.0051259857614504275,0.10237747227787357,0.011609349036992267,0,0,0,6.407482201813034e-4,0.16448974483512954,0
6.407482205208411e-4,0.01168106925038036,0.057575114862555316,0.04074975629935266,6.407482205208411e-4,0.05357456280150031,0.0025629928820833643,0.03681492840722371,0,0,0.06052453499646189,0,0.07201974898118903,0.0038155229649935295,0,0,0,0.0012814964410416821,0.06857501441204249,0.589543761260134
0,0.1445631041790825,0.0771447679740512,0,0,0,0,0,0,0,0.48799056062898044,0,0.044670767780261876,0,0,0,0.11769423283325012,0,0.12793656660437389,0
0.025309554710694047,0.11338000722938436,0.1274384050397905,3.2037411026194997e-4,0,0,0.0019222446615716998,0,0,0,0.2546869042207787,0,0.05443770172831204,0,0,0,0.12737530100352912,0,0.29512950729567755,0
0.0012814964403656656,0.09643950173753567,0.05426333585204463,0.0044852375412798295,0,0.007433833948299698,0.0045992766242210934,0,0,0,0.4368024857738303,0,0.0525070665513514,0,0,0,0.16258221433903447,0,0.17960555119203728,0
0.004072567486960082,0.09833460461311416,0.022067452579699484,0,0,0,0,0,0,0,0.5884730408785335,0,0.08135990478671805,0,0,0,0.07805686750609564,0,0.1276355621488791,0
0.0027910710464506337,0.023134060206626565,0.06128459931146364,0.002794861772815669,0,0,3.203741100726807e-4,0,0,0,0.5784409656704378,0,0.02887251002793382,0,0,0,0.18649936085814176,0,0.1158621969960575,0
0,0.08731645998132087,0.02862423021751645,0.0011854097734005638,0,0,0,0,0,0,0.49189162498081457,0,0.06812899453329399,0,0,0,0.2266925188205217,0,0.09616076169313187,0
0,0.19318891275634506,0.01841663066258064,0,0,0,0,0,0,0,0.4178876205425375,0,0.03023695100510548,0,0,0,0.23410352034951146,0,0.10616636468391989,0
9.611223305289026e-4,0.03043371554940829,0.044237484267385815,0,0,0,0,0,0,0,0.5566065555273708,0,0.01426923370561075,0,0,0,0.24478908149040335,0,0.10870280712929212,0
0,0.004485237543667299,0.004485237543667299,6.407482205238999e-4,0,0,0,0,0,0,0.8763937068776603,0,0.00593111630743565,0,0,0,0.08744480174089744,0,0.020619151766148196,0
0,0.020849488772464668,0.016970267634502285,0,0,0,0.01313533852067724,0,0,0,0.776967483979856,0,0.01921288640632523,0,0,0,0.1143056023719226,0,0.038558932314251886,0
6.407482203495428e-4,0.008329726864544055,0.004366600309014822,0,0,0,0.005766733983145885,0.004643852069184676,0,0,0.8587675947019392,0,0.027915669935210028,0,0,0,0.06546170839013495,0,0.02410736552647679,0
