station,x,y
Deokha,129.3031207,35.4940675
Chunjangdae (Closed),126.5186012,36.1539575
Seungbu,129.0839046,36.993667
Pusan Nat'l Univ.,129.0893608,35.2296377
Jillye,128.7630015,35.2665069
Jinyeong,128.7735504,35.2987478
NA,128.5091641,37.1833577
NA,128.7397402,37.2692471
Jeongseon,128.6726322,37.3879456
NA,128.668432,37.4497823
NA,128.5552232,37.1907577
Dunnae,128.2212714,37.5100212
Buwon,128.8838834,35.2264639
Gimhae City Hall,128.8903754,35.2270823
Hallimjeong,128.8042194,35.3231176
Mulmangol,129.0858394,35.1766404
Yeongwol,128.4809263,37.1821719
Eodeung,128.5600944,36.7154217
Baesan,129.095751,35.173473
Mangmi,129.1075228,35.1717526
Geojehaemaji,129.0690909,35.1814092
City Hall,129.0766143,35.1797067
BEXCO (Busan Museum of Art),129.1360969,35.1715714
Centum City,129.1312167,35.1685922
NA,128.7336795,37.2366742
NA,128.7736429,37.2436437
Toseong,129.01979,35.100761
Beopjeon,128.8833652,36.9168911
ChooChoo Station,129.0392949,37.1817071
Dongjeom,129.0463267,37.0843692
Seokpo,129.0612253,37.0452757
Yeondang,128.3960793,37.1849921
Songhak Station (Closed),128.2701039,37.186946
Jecheon,128.2059637,37.1270743
Hwamyeong,129.0076308,35.2344564
Suyeong,129.114705,35.1654141
Donghae,129.1226016,37.4975753
Dongnae,129.0911451,35.1972513
Jaesong,129.1200991,35.1880412
Busanwondong,129.1141622,35.1936252
Centum,129.1245187,35.1794562
Wondong,128.9207978,35.3624248
Bongyang,128.1314707,37.1297418
Mandeok,129.0364611,35.2129876
Duryu,128.555613,35.857212
Namsanjeong Station,129.023926,35.213327
NA,128.0618457,36.6527667
Jicheon,128.5001806,35.8973951
Daejeo,128.9610874,35.2133357
Galchon,128.211666,35.1458105
Banyawol,128.7137005,35.8659937
Daesil,128.4656502,35.8572721
Daegu Bank,128.6140996,35.8597624
Beomil,129.059365,35.140947
NA,128.0943658,36.2829061
Sajik,129.0650736,35.1990919
Sasang,128.9845867,35.1624697
Pyeonggang,128.9506383,35.2140223
Daesa,128.9383852,35.2177753
Inje University,128.9017745,35.2280744
Buram,128.9278476,35.2221749
Jinae,128.9237872,35.2275145
Gimhae College,128.9155466,35.2289971
Gunam,128.9949483,35.1968242
Yongsan,128.5287818,35.8490535
Seomyeon,129.0592588,35.1577739
Beomil,129.0575131,35.1451117
Busanjin,129.0492214,35.1290282
Ansim,128.7336597,35.8711804
Hayang,128.81844,35.909587
Sinnyeong,128.791276,36.0333598
Daegu Grand Park,128.6800402,35.8424551
Yeungnam University Hospital,128.5885906,35.8444171
Myeongdeok,128.5901008,35.8569997
Geondeulbawi,128.5995656,35.8554495
Suseong-gu Office,128.6357083,35.8588133
Jukjeon,128.5382364,35.8504172
Gamsam,128.548143,35.854322
Yeungnam University,128.7534309,35.8365403
Namcheolsongjang,128.8072879,35.0620328
Jungang,129.036368,35.10384
Nampo,129.0349473,35.0979243
NA,128.7016046,35.2425718
Choryang,129.043037,35.121169
Busan,129.0399028,35.1157262
Jincheon,128.5226535,35.8138089
Changwon,128.6070336,35.2581253
Nokdong,128.9556475,36.9164639
Daegok,128.5125007,35.8094196
Jagalchi,129.02668,35.097371
Busan Sinhang station,128.8467054,35.1178873
Dongmae,128.9734415,35.0897855
NA,128.6149793,34.8657977
Cheongmyeong,127.0795065,37.2599557
MaetanGwonseon,127.0403832,37.2530134
Hwarangdae,127.0837122,37.6197841
Asin,127.4432229,37.5139165
Maebong,127.046978,37.4870692
Konkuk Univ.,127.069384,37.5403626
Daemosan,127.0727494,37.491389
Apgujungrodeo,127.0407094,37.5278128
Seolleung,127.0487082,37.5051756
Yatap,127.1287143,37.4112976
Taepyeong,127.1277447,37.4397089
Wolgok,127.0414554,37.60192
Dujeong,127.1489375,36.8336521
Children's Grand Park,127.0743915,37.5475998
Hwanggan,127.9122487,36.2243141
Imsil,127.2898846,35.6329664
Jung-gu,127.4195775,36.3247793
Dae-dong,127.4429079,36.3294086
Jungangno,127.4259177,36.3285894
Sinheung,127.4489649,36.3195844
Seodaejeon,127.403122,36.3224768
Oryong,127.4050618,36.3283959
Yongmun,127.3932583,36.3382037
Gongju,127.0966368,36.3322371
Silli,127.2062863,35.7740291
Yeongdong,127.7858142,36.1726667
Iwon,127.6186518,36.243989
World Cup Stadium,127.3179022,36.366828
Yuseong Spa,127.3416486,36.353704
Sasang,128.9859388,35.1622789
Geoje,129.0739965,35.1885412
Bujeon,129.0601074,35.1646008
Geoyeo,127.1437709,37.4933453
Hwanseongul Cave MonoRail,129.0121996,37.3224537
Korea Univ.,127.0360133,37.5903784
Yongmasan,127.0865798,37.573993
OSIRIA,129.2083168,35.1962844
Yangsan,129.0264364,35.3387432
Guseong,127.1036385,37.2990487
Guseong,127.1057537,37.299009
Bupyeong,126.7237346,37.4899854
Bupyeong Market,126.722289,37.4983678
NA,127.7193953,35.0151617
Yedang,127.2022876,34.7786269
Bangi,127.1260388,37.5086429
Ganseogogeori,126.7079494,37.4671553
Hoehyeon,126.9784167,37.5586981
Sookmyung Women's Univ.,126.9720063,37.5451398
Seongsu,127.0561016,37.5445688
Dongdaesin,129.0177611,35.1103454
Bonghwasan,127.0910968,37.6174165
Sapgyo,126.7515305,36.6798216
Kangnam Univ.,127.1261278,37.2701593
Hadan,128.9667606,35.1062348
Dangni,128.9738261,35.1034754
Saha,128.983094,35.09984
Goejeong,128.992862,35.0999307
Seodaesin,129.0120406,35.1108608
Jangnim,128.9774839,35.0819425
Dadaepo Beach,128.9662119,35.0480653
Sinpyeong,128.9606813,35.0952151
Sinjangnim,128.9768092,35.0745502
Dadaepo Harbor,128.9714694,35.0576593
Sinhaeundae,129.1768241,35.1817359
Allak,129.1005867,35.1960354
Gangseo Office,128.981958,35.2112255
Busan National University of Education,129.0796231,35.1937864
Sukdeung,129.012758,35.211967
Jiseok,127.1366332,37.2697513
Eojeong,127.1437238,37.2749325
Sanghyeon,127.069302,37.2975826
NA,127.8834939,35.1114044
Geoje,129.074496,35.1897011
Yeonsan,129.0814664,35.1860043
Yeonsan,129.0814899,35.1859794
Cheongna Int'l City,126.6246922,37.5564451
Jangja Lake Park,127.1379117,37.587406
Jinju,128.1183494,35.1501201
Hadong,127.7616118,35.0638799
Guri,127.1408384,37.6022712
Donggureung,127.1381088,37.6105143
Dasan,127.1497626,37.6243286
Byeollae,127.1278172,37.6420348
Guri,127.1433747,37.6032517
Amsa History Park,127.1374318,37.5570469
Byeollae,127.1276086,37.642333
Eonju,127.0338746,37.507321
Bokjeong,127.1267127,37.4705773
Bokjeong,127.1267307,37.470916
