EA_CODE,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12
10507801,3950.15283203125,6635.24365234375,6629.16455078125,6211.91552734375,5027.875,3952.52197265625,3443.211181640625,2955.746337890625,2611.343994140625,2613.107177734375,2546.20947265625,3012.701416015625
10507072,4812.18505859375,7246.10302734375,7090.359375,6209.51123046875,5708.60400390625,4522.5517578125,3965.952392578125,3278.55712890625,2714.267333984375,2758.498291015625,2786.35888671875,2408.503173828125
10507010,4327.8115234375,6140.470703125,6315.79296875,6134.43408203125,4481.20947265625,3909.26513671875,3519.701416015625,3066.7822265625,2735.371826171875,2725.394287109375,2578.86669921875,2769.78369140625
10507001,5716.3173828125,7187.12353515625,7032.2822265625,6976.13232421875,6408.8046875,5312.4990234375,4691.67578125,3989.13818359375,3672.84423828125,3690.690673828125,3606.40869140625,3199.759521484375
10507009,4951.7734375,6510.2490234375,6674.34326171875,6728.19287109375,5406.63330078125,4653.384765625,4141.29150390625,3531.523681640625,3107.23779296875,3318.981689453125,3112.1650390625,3176.027587890625
10507033,4291.00341796875,6216.0634765625,6299.3876953125,6381.90283203125,4868.39453125,4280.16162109375,3811.52978515625,3442.85888671875,2856.332275390625,3037.776611328125,2901.6630859375,3178.781494140625
10507032,5049.27685546875,6667.97802734375,6558.26220703125,6746.90380859375,5072.6083984375,4533.85888671875,3871.236328125,3383.897216796875,2926.755126953125,3208.681396484375,2931.46630859375,2933.79638671875
10507002,4544.615234375,6681.8056640625,6510,6589.12353515625,5347.876953125,4459.85888671875,3932.145263671875,3313.030029296875,2946.19873046875,2979.237548828125,2804.7373046875,2702.060546875
10507003,4677.50634765625,6269.0986328125,6065.76220703125,5942.96240234375,5103.9599609375,4138.94482421875,3696.273681640625,3211.42236328125,2939.805419921875,2956.85791015625,2890.1552734375,2830.89013671875
10507008,4475.986328125,6458.7041015625,6445.05126953125,6530.4033203125,4930.498046875,4276.09228515625,3826.765869140625,3200.205810546875,2892.06005859375,2777.76416015625,2698.74609375,3461.88037109375
10507006,4636.33740234375,6202.75830078125,6048.625,6141.68798828125,4733.75732421875,3975.853515625,3636.13427734375,3101.14892578125,2855.35302734375,2908.343994140625,2772.53955078125,3836.51611328125
10507007,4517.3603515625,6080.69580078125,6193.3759765625,6055.7138671875,4633.77783203125,3971.2138671875,3637.420654296875,2995.41552734375,2675.90966796875,2794.350341796875,2631.417236328125,3249.402587890625
10507012,4008.587646484375,6303.3173828125,6303.048828125,5679.82373046875,4525.5146484375,3846.057861328125,3492.35107421875,3080.40234375,2617.23779296875,2650.33837890625,2561.1923828125,2969.181884765625
10507030,4213.939453125,6273.9599609375,6319.19921875,6022.4580078125,4513.25537109375,3913.999267578125,3518.1123046875,3057.64453125,2735.84619140625,2925.8017578125,2726.61572265625,2631.264404296875
10507031,4622.8232421875,6336.77685546875,6356.279296875,6376.75390625,5157.43017578125,4488.1171875,3974.71630859375,3490.24072265625,2995.141845703125,3057.1357421875,3057.12890625,3020.869873046875
10507034,4433.45458984375,6107.75537109375,6187.0087890625,6165.22216796875,4978.89501953125,4264.32470703125,3846.871826171875,3491.08251953125,2911.49609375,3038.28662109375,2950.729248046875,2950.657958984375
10507029,4573.25927734375,6410.68017578125,6479.9111328125,5983.6044921875,4649.150390625,4301.01708984375,3538.61376953125,3044.778564453125,2696.9775390625,2954.760009765625,2875.57763671875,2405.896240234375
10507086,4482.3876953125,7089.84326171875,6959.82177734375,6113.03662109375,5423.80810546875,4502.9736328125,3887.052978515625,3234.308837890625,2706.532958984375,2702.977294921875,2658.949462890625,3013.593994140625
10507049,5365.2021484375,6595.3330078125,6762.77978515625,6404.10693359375,5895.8583984375,5092.0087890625,4402.99951171875,3724.917236328125,3127.9306640625,3153.37890625,3225.574462890625,3543.5859375
10507078,4525.45556640625,6411.94921875,6907.66845703125,6261.2080078125,5171.38818359375,4239.83544921875,3644.0380859375,3155.78466796875,2687.927734375,2709.412109375,2632.56396484375,3016.4130859375
10507083,5730.416015625,7360.013671875,6896.7412109375,6750.54248046875,5803.48974609375,4814.341796875,4107.29541015625,3415.890625,2900.007568359375,2831.153564453125,2778.9501953125,3701.073974609375
10507080,5347.69775390625,6677.82568359375,6820.7509765625,6092.064453125,5289.95068359375,4796.32421875,3975.864501953125,3398.613037109375,2844.316162109375,2796.48193359375,2853.828369140625,3140.962646484375
10507079,4632.55029296875,6064.37060546875,6681.6552734375,5756.51318359375,5129.1591796875,4468.1455078125,3735.06884765625,3313.418701171875,2759.285888671875,2720.418701171875,2725.224853515625,3210.02490234375
10507085,4294.88037109375,6357.3662109375,6611.22802734375,5857.24853515625,5177.662109375,4268.84716796875,3724.408203125,3256.98974609375,2715.150390625,2695.626953125,2681.22021484375,3003.801513671875
10507084,5106.61328125,7154.84765625,6583.16064453125,6402.73193359375,5405.75390625,4423.041015625,3915.2451171875,3252.9912109375,2793.6611328125,2706.053955078125,2648.8427734375,2808.461181640625
10507081,4061.839599609375,5978.21826171875,6333.52197265625,5594.513671875,4921.23876953125,4144.4375,3610.0205078125,3135.52392578125,2624.71044921875,2527.6611328125,2519.08837890625,2694.169189453125
10507082,4466.390625,6740.33203125,6578.3623046875,6301.0517578125,5508.5009765625,4560.99853515625,4141.07470703125,3475.375,2850.435302734375,2785.48828125,2778.431396484375,2885.452392578125
