EA_CODE,pop
10507801,1068.7786865234375
10507072,695.80133056640625
10507010,938.1138916015625
10507001,749.69598388671875
10507009,597.54315185546875
10507033,474.3934020996094
10507032,536.22705078125
10507002,865.8890380859375
10507003,914.38604736328125
10507008,977.23486328125
10507006,760.25946044921875
10507007,643.021728515625
10507012,1063.18115234375
10507030,1263.010498046875
10507031,725.947998046875
10507034,717.1319580078125
10507029,625.308349609375
10507086,593.74884033203125
10507049,976.045654296875
10507078,1122.47998046875
10507083,805.65704345703125
10507080,561.46282958984375
10507079,1029.50048828125
10507085,843.42315673828125
10507084,569.6904296875
10507081,860.0972900390625
10507082,561.99884033203125
10507022,952.74652099609375
10507013,496.2579345703125
10507024,1023.673095703125
10507014,411.7719421386719
10507023,625.9683837890625
10507005,515.8397216796875
10507004,563.6287841796875
10507015,805.036376953125
10507019,1273.634033203125
10507016,871.62921142578125
10507027,966.24188232421875
10507036,1036.32666015625
10507017,423.11077880859375
10507020,667.2109375
10507045,806.93280029296875
10507041,1055.4697265625
10507035,634.53350830078125
10507025,526.61767578125
10507026,510.52435302734375
10507011,1390.3526611328125
10507028,658.05841064453125
10507038,908.44207763671875
10507040,930.969970703125
10507018,624.92889404296875
10507046,897.72076416015625
10507047,740.43603515625
10507048,747.2957763671875
10507077,937.552490234375
10507021,783.32684326171875
10507067,1338.5665283203125
10507075,830.928466796875
10507076,1239.8345947265625
10507055,659.8116455078125
10507044,575.0206298828125
10507063,868.34796142578125
10507042,723.60321044921875
10507050,866.893798828125
10507043,891.2119140625
10507054,483.1582336425781
10507802,1028.5206298828125
10507062,795.35723876953125
10507051,596.1436767578125
10507053,1094.238037109375
10507052,899.85107421875
10507039,614.61260986328125
10507056,1020.34716796875
10507057,521.73248291015625
10507058,605.646728515625
10507060,470.5706481933594
10507059,735.0615234375
10507061,443.52618408203125
10507066,620.53253173828125
10507068,689.7088623046875
10507064,1011.0263671875
10507065,688.92987060546875
10507070,1964.829833984375
10507088,906.3082275390625
10507087,1039.966552734375
10507073,1073.823974609375
10507069,1001.9620361328125
10507074,831.1317138671875
10507071,900.0050048828125
10507092,1230.6317138671875
10507093,1104.568603515625
10507094,857.444580078125
10507090,623.466064453125
10507089,859.60614013671875
10507091,859.5611572265625
10507037,503.1724548339844
10511802,2099.277099609375
10511010,1002.123291015625
10511015,758.13134765625
10511901,688.5355224609375
10511011,958.62066650390625
10511012,665.477783203125
10511014,459.88897705078125
10511013,496.4808044433594
10511006,902.7840576171875
10511007,980.74737548828125
10511005,2239.958740234375
10511001,1159.2125244140625
10511003,690.194580078125
10511004,938.848876953125
10511002,1307.0526123046875
10511008,650.11614990234375
10511009,378.6696472167969
10511801,1215.9788818359375
10510001,1247.35595703125
10510801,1388.8768310546875
10510049,1235.9012451171875
10510048,738.89453125
10510047,1447.4024658203125
10510046,1139.5665283203125
10510019,1194.0875244140625
10510043,1036.944091796875
10510044,1125.2425537109375
10510033,829.37664794921875
10510032,944.93817138671875
10510028,1101.875732421875
10510036,638.19842529296875
10510035,890.3731689453125
10510034,927.93280029296875
10510045,543.7608642578125
10510042,871.69873046875
10510037,506.9405212402344
10510038,912.4525146484375
10510041,573.8363037109375
10510020,773.58465576171875
10510039,1450.91455078125
10510040,572.240478515625
10510031,946.326171875
10510029,676.77191162109375
10510030,789.11309814453125
10510027,889.8076171875
10510021,1101.3572998046875
10510026,773.2755126953125
10510023,769.0416259765625
10510025,768.7618408203125
10510024,329.6123046875
10510017,700.271484375
10510016,534.26434326171875
10510015,1320.3687744140625
10510014,1064.76025390625
10510012,964.048828125
10510013,855.82061767578125
10510011,600.85986328125
10510004,613.518310546875
10510005,522.98162841796875
10510006,693.13751220703125
10510010,1134.580810546875
10510008,1731.860595703125
10510007,830.48175048828125
10510003,653.97650146484375
10510002,774.5557861328125
10510802,2184.69921875
10510806,885.3824462890625
10510805,630.5672607421875
10510804,457.0779724121094
10510803,731.576904296875
10510018,1288.0489501953125
10510022,1047.50537109375
10506906,574.3924560546875
10506801,528.7401123046875
10506913,7.501586437225342
10506901,826.782470703125
10506014,915.618896484375
10506912,300.9227294921875
10506908,876.00604248046875
10506911,696.26434326171875
10506905,1215.1763916015625
10506904,361.72967529296875
10506902,317.0992736816406
10506903,62.93461227416992
10506907,162.71127319335938
10506910,477.7315673828125
10506909,726.5535888671875
10506001,572.3079833984375
10506007,445.8581237792969
10506013,665.56500244140625
10506012,694.3104248046875
10506011,642.416748046875
10506002,705.27825927734375
10506003,940.74237060546875
10506004,763.482666015625
10506006,1104.08544921875
10506005,750.33453369140625
10506022,321.0718994140625
10506021,317.19781494140625
10506023,342.25146484375
10506024,270.6343688964844
10506025,222.0592498779297
10506026,551.36968994140625
10506027,657.06890869140625
10506028,522.42926025390625
10506020,957.54571533203125
10506019,460.5247802734375
10506018,1312.9698486328125
10506008,911.1158447265625
10506009,1040.4647216796875
10506010,557.10986328125
10506015,736.07269287109375
10506016,1066.0775146484375
10506017,786.13525390625
10506035,1046.0386962890625
10506029,1596.0042724609375
10506030,889.5308837890625
10506034,673.93603515625
10506047,248.8250732421875
10506046,514.1907958984375
10506045,482.6986389160156
10506048,615.78607177734375
10506049,574.71295166015625
10506080,737.63641357421875
10506081,809.1514892578125
10506083,556.140380859375
10506082,703.128173828125
10506084,905.84783935546875
10506112,552.46600341796875
10506113,812.98236083984375
10506079,1164.1219482421875
10506085,1067.663330078125
10506087,1030.4249267578125
10506088,723.47222900390625
10506031,544.599853515625
10506111,733.470703125
10506114,785.5435791015625
10506110,1090.5228271484375
