EA_CODE,ndvimin,ndvimax,ndvimean
10507801,2546.20947265625,6635.24365234375,4197.903302873884
10507072,2408.503173828125,7246.10302734375,4511.146990094866
10507010,2578.86669921875,6315.79296875,4114.253121512277
10507001,3199.759521484375,7187.12353515625,5133.611380440848
10507009,3107.23779296875,6728.19287109375,4653.3739013671875
10507033,2856.332275390625,6381.90283203125,4343.149344308035
10507032,2926.755126953125,6746.90380859375,4539.88427734375
10507002,2702.060546875,6681.8056640625,4442.468279157366
10507003,2830.89013671875,6269.0986328125,4273.116280691965
10507008,2698.74609375,6530.4033203125,4371.664794921875
10507006,2772.53955078125,6202.75830078125,4273.1680908203125
10507007,2631.417236328125,6193.3759765625,4161.489065987723
10507012,2561.1923828125,6303.3173828125,4064.3974086216517
10507030,2631.264404296875,6319.19921875,4128.7542724609375
10507031,2995.141845703125,6376.75390625,4450.3792724609375
10507034,2911.49609375,6187.0087890625,4316.020699637277
10507029,2405.896240234375,6479.9111328125,4200.002406529018
10507086,2658.949462890625,7089.84326171875,4466.005667550223
10507049,3127.9306640625,6762.77978515625,4798.884730747768
10507078,2632.56396484375,6907.66845703125,4350.276925223215
10507083,2778.9501953125,7360.013671875,4802.0628662109375
10507080,2796.48193359375,6820.7509765625,4546.565237862723
10507079,2720.418701171875,6681.6552734375,4328.422136579241
10507085,2681.22021484375,6611.22802734375,4281.205548967634
10507084,2648.8427734375,7154.84765625,4500.363874162947
10507081,2519.08837890625,6333.52197265625,4071.253836495536
10507082,2778.431396484375,6740.33203125,4470.761195591518
10507022,2690.78564453125,6330.689453125,4217.494873046875
10507013,2058.01904296875,6432.86083984375,3616.509992327009
10507024,2142.37353515625,6439.88037109375,3914.6658238002233
10507014,2393.35546875,5979.783203125,3772.7860107421875
10507023,2490.678466796875,6227.54296875,4014.2952008928573
10507005,2515.605712890625,6050.32177734375,4006.7698800223216
10507004,2765.56494140625,6142.5263671875,4234.222621372768
10507015,2528.9794921875,6178.109375,3994.7730538504466
10507019,2603.9423828125,6228.7763671875,4137.7431640625
10507016,2690.549560546875,6470.84375,4147.934413364956
10507027,2694.8916015625,6252.05517578125,4138.599591936384
10507036,2851.26904296875,6375.71337890625,4323.534912109375
10507017,2482.293701171875,6693.3408203125,4129.071864536831
10507020,2361.197021484375,6174.97021484375,3929.5860595703125
10507045,2688.451904296875,6437.57373046875,4267.51496233259
10507041,2502.60595703125,6351.5947265625,4131.731096540178
10507035,2421.571533203125,6300.1328125,4167.266183035715
10507025,2148.4990234375,6534.87451171875,3792.790771484375
10507026,2613.35791015625,6367.501953125,4106.13214983259
10507011,2488.54736328125,6444.62744140625,4135.0989990234375
10507028,2839.922607421875,6369.88623046875,4285.662057059152
10507038,2575.317626953125,6119.1884765625,3968.2969273158483
10507040,2635.068115234375,6213.04638671875,4023.6600167410716
10507018,2778.719482421875,6206.24169921875,4333.982369559152
10507046,2860.0244140625,6262.16162109375,4333.185825892857
10507047,3014.668701171875,6280.49267578125,4502.159598214285
10507048,3108.83642578125,7020.50390625,4988.471173967634
10507077,2661.935791015625,6592.4775390625,4249.665631975447
10507021,2703.62158203125,6344.01025390625,4222.436453683035
10507067,2687.98486328125,6358.0615234375,4232.172014508928
10507075,2522.03515625,6456.69384765625,4236.436226981027
10507076,2811.203369140625,6562.4375,4319.417463030134
10507055,2690.00830078125,6537.5234375,4254.247523716518
10507044,3011.43798828125,6816.04443359375,4769.878330775669
10507063,2903.66162109375,6570.2392578125,4534.6787109375
10507042,2628.55078125,6484.66796875,4253.243321010044
10507050,2924.15576171875,6712.521484375,4549.775687081473
10507043,2792.7666015625,6575.85009765625,4397.073294503348
10507054,2807.3515625,6850.27197265625,4596.262189592634
10507802,2731.2197265625,6699.55078125,4285.232631138393
10507062,2575.763427734375,6591.3154296875,4217.236833844866
10507051,2922.32080078125,6780.2890625,4551.955130440848
10507053,2712.53515625,6912.630859375,4443.242030552456
10507052,2896.506591796875,6638.373046875,4531.380161830357
10507039,2435.781494140625,6606.6826171875,4182.278128487723
10507056,2653.373291015625,6855.4736328125,4358.855712890625
10507057,2774.582763671875,6698.39453125,4425.310546875
10507058,2719.948974609375,6466.90380859375,4202.047799246652
10507060,2892.0576171875,6704.44384765625,4462.561750139509
10507059,2879.814208984375,6637.52978515625,4459.976475306919
10507061,2695.217041015625,6570.41015625,4278.285208565848
10507066,2727.8544921875,6742.56201171875,4393.863664899553
10507068,2730.297607421875,6537.3134765625,4410.032383510044
10507064,2909.443359375,6867.56982421875,4702.831089564732
10507065,2830.664306640625,6858.74560546875,4554.784476143973
10507070,2860.27685546875,6621.85400390625,4425.045706612723
10507088,2846.94091796875,7445.1611328125,4786.621041434152
10507087,2686.838134765625,6829.5400390625,4436.853794642857
10507073,2359.449951171875,6595.9052734375,4226.679617745535
10507069,2673.58154296875,6623.1171875,4473.116559709822
10507074,2269.357421875,6483.6943359375,4133.134922572544
10507071,2809.927490234375,7373.0830078125,4719.810198102678
10507092,2761.144775390625,6533.302734375,4376.703578404018
10507093,2522.045166015625,6359.728515625,4101.648943219866
10507094,2676.362060546875,7216.076171875,4497.804774693081
10507090,2625.173095703125,7650.69921875,4748.160696847098
10507089,2768.007568359375,7763.55859375,4906.524396623884
10507091,2759.253173828125,7384.783203125,4724.500523158482
10507037,2796.375244140625,6749.75927734375,4433.836077008928
10511802,2535.76904296875,6997.84375,4372.188703264509
10511010,2694.505859375,6797.94677734375,4444.309762137277
10511015,3189.622314453125,7523.65869140625,5238.465890066965
10511901,4068.4130859375,7822.736328125,5976.689174107143
