GEO_ID,NAME,poptotal,popblack,pophispanic,poortotal,poorblack,poorhispanic
1400000US13091960100,"Census Tract 9601, Dodge County, Georgia",1917,614,70,401,168,9
1400000US13091960200,"Census Tract 9602, Dodge County, Georgia",3186,460,167,795,223,121
1400000US13091960301,"Census Tract 9603.01, Dodge County, Georgia",3118,808,308,551,161,0
1400000US13091960302,"Census Tract 9603.02, Dodge County, Georgia",2875,160,69,296,107,0
1400000US13091960400,"Census Tract 9604, Dodge County, Georgia",3434,1127,40,1032,377,0
1400000US13091960500,"Census Tract 9605, Dodge County, Georgia",1855,572,13,172,55,7
1400000US13091960600,"Census Tract 9606, Dodge County, Georgia",2270,1114,12,465,299,0
1400000US13093970100,"Census Tract 9701, Dooly County, Georgia",3987,1904,118,817,495,25
1400000US13093970200,"Census Tract 9702, Dooly County, Georgia",1817,727,304,326,255,6
1400000US13093970300,"Census Tract 9703, Dooly County, Georgia",6301,3282,457,1583,1039,360
1400000US13095000101,"Census Tract 1.01, Dougherty County, Georgia",2415,2073,11,1067,1024,0
1400000US13095000102,"Census Tract 1.02, Dougherty County, Georgia",2305,1968,52,552,374,52
1400000US13095000200,"Census Tract 2, Dougherty County, Georgia",2653,2568,0,1269,1258,0
1400000US13095000400,"Census Tract 4, Dougherty County, Georgia",6047,3331,273,939,636,0
1400000US13095000501,"Census Tract 5.01, Dougherty County, Georgia",5011,3275,362,148,135,0
1400000US13095000502,"Census Tract 5.02, Dougherty County, Georgia",3697,892,87,396,167,27
1400000US13095000600,"Census Tract 6, Dougherty County, Georgia",3237,1696,176,850,269,145
1400000US13095000700,"Census Tract 7, Dougherty County, Georgia",1539,776,30,221,174,0
1400000US13095000800,"Census Tract 8, Dougherty County, Georgia",1102,913,57,652,610,0
1400000US13095000900,"Census Tract 9, Dougherty County, Georgia",2417,1613,105,577,448,7
1400000US13095001000,"Census Tract 10, Dougherty County, Georgia",2419,2095,0,801,701,0
1400000US13095001100,"Census Tract 11, Dougherty County, Georgia",4597,4086,0,1813,1498,0
1400000US13095001403,"Census Tract 14.03, Dougherty County, Georgia",2107,1992,14,993,930,0
1400000US13095001500,"Census Tract 15, Dougherty County, Georgia",2421,2393,7,1296,1273,2
1400000US13095010302,"Census Tract 103.02, Dougherty County, Georgia",4822,4599,23,2066,2014,23
1400000US13095010401,"Census Tract 104.01, Dougherty County, Georgia",7219,3468,0,546,447,0
1400000US13095010402,"Census Tract 104.02, Dougherty County, Georgia",3311,2784,21,697,618,0
1400000US13095010403,"Census Tract 104.03, Dougherty County, Georgia",1542,642,75,208,94,13
1400000US13095010500,"Census Tract 105, Dougherty County, Georgia",1925,1117,28,277,162,18
1400000US13095010601,"Census Tract 106.01, Dougherty County, Georgia",2074,1937,64,957,857,64
1400000US13095010602,"Census Tract 106.02, Dougherty County, Georgia",3540,3041,20,628,582,20
1400000US13095010701,"Census Tract 107.01, Dougherty County, Georgia",3307,3021,0,1432,1313,0
1400000US13095010702,"Census Tract 107.02, Dougherty County, Georgia",1184,1024,26,647,607,0
1400000US13095010900,"Census Tract 109, Dougherty County, Georgia",1889,1203,108,389,124,95
1400000US13095011000,"Census Tract 110, Dougherty County, Georgia",2805,1272,139,568,389,0
1400000US13095011200,"Census Tract 112, Dougherty County, Georgia",3929,2344,557,1861,1193,447
1400000US13095011300,"Census Tract 113, Dougherty County, Georgia",2458,849,81,510,344,0
