code,fclass,province,lon,lat
2082,elementaryschool,Seoul,126.9766085,37.4943909
2082,middleschool,Seoul,126.976648,37.4944764
2082,highschool,Seoul,126.9769637,37.4945188
2082,elementaryschool,Seoul,126.9772144,37.4945045
2082,middleschool,Seoul,126.9779221,37.4941634
2082,highschool,Seoul,126.9776683,37.4938776
2082,elementaryschool,Seoul,126.9776402,37.4936667
2082,elementaryschool,Seoul,126.9774907,37.4937217
2082,middleschool,Seoul,126.9773186,37.4937472
2082,middleschool,Seoul,126.977107,37.4937538
2082,elementaryschool,Seoul,126.9769309,37.493725
2082,elementaryschool,Seoul,126.9767444,37.4936804
2082,highschool,Seoul,126.976548,37.4936086
2082,school,Seoul,126.9763728,37.49352
2082,highschool,Seoul,126.9761561,37.4936373
2082,elementaryschool,Seoul,126.976279,37.4939837
2082,highschool,Seoul,126.9770488,37.4958226
2082,school,Seoul,126.9778992,37.4955748
2082,school,Seoul,126.9775187,37.4948502
2082,school,Seoul,126.9776355,37.4947446
2082,school,Seoul,126.9781482,37.494519
2082,school,Seoul,126.9779221,37.4941634
2082,highschool,Seoul,126.9772144,37.4945045
2082,elementaryschool,Seoul,126.9769637,37.4945188
2082,elementaryschool,Seoul,126.976648,37.4944764
2082,middleschool,Seoul,126.9765843,37.4948641
2082,highschool,Seoul,126.9770488,37.4958226
2082,elementaryschool,Seoul,127.0984839,37.5445971
2082,elementaryschool,Seoul,127.0987736,37.5445546
2082,middleschool,Seoul,127.098956,37.544529
2110,hospital,Seoul,127.0988916,37.5443929
2110,hospital,Seoul,127.098559,37.5444355
2082,elementaryschool,Seoul,127.0985161,37.5442909
2082,elementaryschool,Seoul,127.0988809,37.5442143
2082,elementaryschool,Seoul,127.0988809,37.5440867
2082,elementaryschool,Seoul,127.0984732,37.5441462
2082,middleschool,Seoul,127.0984195,37.5439506
2082,elementaryschool,Seoul,127.09828,37.5440016
2082,elementaryschool,Seoul,127.0984839,37.5445971
2082,school,Seoul,127.0977973,37.5449502
2082,school,Seoul,127.0980118,37.5449161
2082,highschool,Seoul,127.0980977,37.5450267
2082,middleschool,Seoul,127.0978509,37.5451203
2082,elementaryschool,Seoul,127.0979689,37.5452564
2082,middleschool,Seoul,127.0988702,37.5450352
2110,hospital,Seoul,127.098736,37.5449187
2082,school,Seoul,127.0984771,37.5449512
2082,school,Seoul,127.098205,37.5449927
2082,school,Seoul,127.0981406,37.5448906
2082,school,Seoul,127.0982586,37.5448651
2082,elementaryschool,Seoul,127.0982157,37.5447205
2501,supermarket,Seoul,127.0977222,37.5448226
2082,elementaryschool,Seoul,127.0977973,37.5449502
2082,school,Seoul,127.0629895,37.5333902
2082,highschool,Seoul,127.063821,37.5338837
2082,school,Seoul,127.0644544,37.5332313
2082,school,Seoul,127.0636757,37.5326362
2082,school,Seoul,127.0629036,37.5328287
2082,elementaryschool,Seoul,127.0626461,37.5329903
2082,school,Seoul,127.0629895,37.5333902
2082,middleschool,Seoul,127.0873773,37.5163718
2082,elementaryschool,Seoul,127.0877477,37.5164104
2082,school,Seoul,127.0879846,37.5164351
2082,school,Seoul,127.0884896,37.5161273
2082,school,Seoul,127.088846,37.5158703
2082,elementaryschool,Seoul,127.0880467,37.5150022
2082,school,Seoul,127.0868021,37.5157596
2082,school,Seoul,127.0873773,37.5163718
2082,school,Seoul,127.0884205,37.5151139
2082,school,Seoul,127.0890273,37.5157438
2082,middleschool,Seoul,127.0890712,37.5157894
2082,school,Seoul,127.0899349,37.5153087
2082,school,Seoul,127.0899495,37.5152269
2082,school,Seoul,127.0899977,37.514957
2082,school,Seoul,127.0900261,37.514798
2082,school,Seoul,127.0895219,37.5143257
2082,highschool,Seoul,127.0889103,37.5146916
2082,elementaryschool,Seoul,127.088554,37.5143057
2082,middleschool,Seoul,127.0879769,37.5146533
2082,elementaryschool,Seoul,127.0884205,37.5151139
2082,school,Seoul,127.0878512,37.5146842
2082,school,Seoul,127.0891738,37.5138762
2082,school,Seoul,127.0886311,37.5133032
2082,school,Seoul,127.0886014,37.5132718
2082,school,Seoul,127.0880813,37.5135699
2082,school,Seoul,127.0879902,37.5136212
2082,school,Seoul,127.0872261,37.5140513
2082,elementaryschool,Seoul,127.0878512,37.5146842
2082,middleschool,Seoul,127.0956813,37.514211
2082,elementaryschool,Seoul,127.0960866,37.51326
2082,elementaryschool,Seoul,127.0947951,37.5130279
2082,elementaryschool,Seoul,127.0944518,37.5139342
2082,middleschool,Seoul,127.0956813,37.514211
2110,hospital,Seoul,127.0897913,37.5105185
2110,hospital,Seoul,127.0907503,37.5100152
2082,elementaryschool,Seoul,127.0899081,37.5091258
2082,elementaryschool,Seoul,127.0890129,37.5096436
2082,highschool,Seoul,127.0897913,37.5105185
2082,middleschool,Seoul,127.0948004,37.5090855
2082,elementaryschool,Seoul,127.0955461,37.508694
2082,middleschool,Seoul,127.0947522,37.5077705
2082,highschool,Seoul,127.094028,37.5081791
2082,middleschool,Seoul,127.0948004,37.5090855
2082,elementaryschool,Seoul,127.0834863,37.5069738
2082,elementaryschool,Seoul,127.0835029,37.5070214
2082,highschool,Seoul,127.0835245,37.5070696
2501,supermarket,Seoul,127.0835964,37.5072301
2082,elementaryschool,Seoul,127.0836907,37.5074407
2082,elementaryschool,Seoul,127.0850758,37.5070399
2082,middleschool,Seoul,127.0850977,37.5069752
2082,highschool,Seoul,127.0849435,37.5066295
2082,middleschool,Seoul,127.0849055,37.5065443
2082,middleschool,Seoul,127.0847313,37.5061536
2082,elementaryschool,Seoul,127.0844508,37.5062338
2082,school,Seoul,127.0832996,37.5065631
2082,elementaryschool,Seoul,127.0834863,37.5069738
2082,elementaryschool,Seoul,127.105119,37.5032362
2082,elementaryschool,Seoul,127.1056554,37.5021882
2082,school,Seoul,127.1044886,37.501819
2082,highschool,Seoul,127.1039387,37.5028542
2082,elementaryschool,Seoul,127.105119,37.5032362
2082,highschool,Seoul,127.0359276,37.4622089
2082,elementaryschool,Seoul,127.0357871,37.4623374
2110,hospital,Seoul,127.0360313,37.4625057
2082,middleschool,Seoul,127.0366462,37.4619438
2082,elementaryschool,Seoul,127.0366896,37.4619738
2082,highschool,Seoul,127.0368499,37.4618272
2082,elementaryschool,Seoul,127.0362853,37.4614379
2082,middleschool,Seoul,127.0356506,37.4620179
2082,middleschool,Seoul,127.0359276,37.4622089
2082,highschool,Seoul,126.9053617,37.4919947
2082,middleschool,Seoul,126.9057556,37.4924425
2082,highschool,Seoul,126.9064864,37.4919829
2082,school,Seoul,126.9058014,37.4913017
2082,highschool,Seoul,126.905262,37.4916758
2082,highschool,Seoul,126.9053617,37.4919947
2082,middleschool,Seoul,127.0864157,37.5472656
2082,elementaryschool,Seoul,127.0865498,37.5472273
2082,middleschool,Seoul,127.0864103,37.5469211
2082,elementaryschool,Seoul,127.0862923,37.5469678
2082,highschool,Seoul,127.0863728,37.5471252
2082,middleschool,Seoul,127.0862762,37.5471635
2110,hospital,Seoul,127.0861528,37.5471507
2501,supermarket,Seoul,127.0861475,37.5472315
2082,middleschool,Seoul,127.0864157,37.5472656
2110,hospital,Seoul,127.0637914,37.6150027
2082,elementaryschool,Seoul,127.0638451,37.6147244
2082,elementaryschool,Seoul,127.0636439,37.6146861
